iter	Passed	Remaining
941	123397	7597
942	123425	7460
943	123453	7323
944	123482	7186
945	123509	7050
946	123538	6914
947	123571	6778
948	123604	6642
949	123633	6507
950	123662	6371
951	123693	6236
952	123724	6101
953	123758	5967
954	123787	5832
955	123816	5698
956	123855	5565
957	123886	5431
958	123915	5297
959	123944	5164
960	123977	5031
961	124010	4898
962	124040	4765
963	124070	4633
964	124100	4501
965	124129	4368
966	124158	4237
967	124188	4105
968	124218	3973
969	124245	3842
970	124274	3711
971	124302	3580
972	124331	3450
973	124359	3319
974	124388	3189
975	124421	3059
976	124452	2929
977	124482	2800
978	124515	2670
979	124545	2541
980	124576	2412
981	124604	2283
982	124634	2155
983	124663	2027
984	124694	1898
985	124722	1770
986	124750	1643
987	124777	1515
988	124805	1388
989	124834	1260
990	124865	1133
991	124895	1007
992	124926	880
993	124954	754
994	124981	628
995	125011	502
996	125042	376
997	125072	250
998	125100	125
999	125130	0
